address,condition,occupancy,comments,Occupied
"39 Benwood Ave, Buffalo, NY",1,1,,1
"114 Mercer Ave, Buffalo, NY",1,1,,1
"325 Manhattan Ave, Buffalo, NY",1,1,,1
"153 Range Ave, Buffalo, NY",3,1,,1
"128 Highgate Ave, Buffalo, NY",1,1,,1
"1 Shirley Ave, Buffalo, NY",1,1,,1
"5 Shirley Ave, Buffalo, NY",1,1,,1
"21 Shirley Ave, Buffalo, NY, 14215",1,1,,1
"27 Shirley Ave, Buffalo, NY 14215",1,1,,1
"125 Winspear Ave, Buffalo, NY",2,1,,1
"105 Highgate Ave, Buffalo, NY",2,1,,1
"33 Shirley Ave, Buffalo, NY",1,1,,1
"45 Shirley Ave, Buffalo, NY",1,1,,1
"43 Northrup Place, Buffalo, NY",2,1,,1
"155 Highgate Ave, Buffalo, NY",1,1,,1
"36 Dartmouth Ave Buffalo, NY",1,1,,1
"196 Highgate Ave, Buffalo, NY",1,1,,1
"120 Lisbon Ave, Buffalo, NY",2,1,,1
"130 Lisbon Ave, Buffalo, NY",2,1,,1
"134 Lisbon Ave, Buffalo, NY",3,1,,1
"148 Lisbon Ave, Buffalo, NY",1,1,,1
"156 Lisbon Ave, Buffalo, NY",2,1,,1
"160 Lisbon Ave, Buffalo, NY",3,1,,1
"252 Highgate Ave, Buffalo, NY",1,1,,1
"173 Highgate Ave, Buffalo, NY",2,1,,1
"145 Lisbon Ave, Buffalo, NY",3,1,,1
"52 Dartmouth Ave Buffalo, NY",1,1,,1
"221 Highgate Ave, Buffalo, NY",1,1,,1
"149 Winspear Ave, Buffalo, NY",2,1,,1
"106 Dartmouth Ave, Buffalo, NY",1,1,,1
"138 Winspear Ave, Buffalo, NY",2,1,,1
"4 Dartmouth Ave Buffalo, NY",3,2,,0
"162 Winspear Ave, Buffalo, NY",2,1,,1
"20 Dartmouth Ave Buffalo, NY",2,1,,1
"188 Winspear Ave, Buffalo, NY",2,1,,1
"44 Dartmouth Ave Buffalo, NY",2,1,,1
"330 LaSalle Ave, Buffalo, NY",1,1,,1
"325 LaSalle Ave, Buffalo, NY",1,1,,1
"333 LaSalle Ave, Buffalo, NY",1,1,,1
"26 Dunlop Ave Buffalo, NY",2,1,,1
"34 Dunlop Ave Buffalo, NY",1,1,,1
"124 Dunlop Ave, Buffalo, NY",1,1,,1
"52 Dunlop Ave Buffalo, NY",1,1,,1
"128 Dunlop Ave, Buffalo, NY",1,1,,1
"105 Dunlop Ave, Buffalo, NY",1,1,,1
"131 Dunlop Ave, Buffalo, NY",2,1,,1
"153 Dunlop Ave, Buffalo, NY",1,1,,1
"22 E Depew Ave, Buffalo, NY",1,1,,1
"141 E Morris Ave, Buffalo, NY",1,1,,1
"157 E Morris Ave, Buffalo, NY",1,1,,1
"88 E Depew Ave, Buffalo, NY",1,1,,1
"183 E Morris Ave, Buffalo, NY",1,1,,1
"193 E Morris Ave, Buffalo, NY",1,1,,1
"96 E Depew Ave, Buffalo, NY",1,1,,1
"142 E Morris Ave, Buffalo, NY",1,1,,1
"89 E Depew Ave, Buffalo, NY",1,1,,1
"87 E Morris Ave, Buffalo, NY",1,1,,1
"16 Winspear Ave, Buffalo, NY",1,1,,1
"66 E Morris Ave, Buffalo, NY",1,1,,1
